2.64507,0.008807
2.61721,0.008795
2.64997,0.008676
2.60824,0.008750
2.61470,0.008605
2.60565,0.008591
2.60788,0.008901
2.61551,0.008692
2.60735,0.008814
2.61915,0.008562
2.62507,0.008787
2.64629,0.008562
2.61780,0.008608
2.62344,0.008911
2.60858,0.008689
2.62000,0.008831
2.61369,0.008718
2.61390,0.008562
2.62756,0.009643
2.62111,0.008537
2.62781,0.008755
2.63867,0.008549
2.61933,0.008557
2.62687,0.008738
2.63950,0.008551
2.65902,0.008945
2.63788,0.008882
2.63189,0.008670
2.63464,0.008663
2.63062,0.008656
